key,en,de
new_game,New  Game,Neues Spiel
load_game,Load Game,Spiel Laden
player_name,Player Name,Spieler Name
start,Start,Start
next_round,Next Round,Nächste Runde
show_winner,Show Winner,Gewinner Anzeigen
place,Place,Platz
name,Name,Name
points,Points,Punkte
banana_cup,Banana-Cup,Bananen-Cup
bell_cup,Bell-Cup,Glocken-Cup
crossing_cup,Crossing-Cup,Crossing-Cup
egg_cup,Egg-Cup,Ei-Cup
flower_cup,Flower-Cup,Blumen-Cup
leaf_cup,Leaf-Cup,Blatt-Cup
lightning_cup,Lightning-Cup,Blitz-Cup
mushroom_cup,Mushroom-Cup,Pilz-Cup
shell_cup,Shell-Cup,Panzer-Cup
special_cup,Special-Cup,Spezial-Cup
star_cup,Star-Cup,Stern-Cup
triforce_cup,Triforce-Cup,Triforce-Cup
acorn_cup,Acorn-Cup,Eichel-Cup
boomeran_cup,Boomerang-Cup,Bumerang-Cup
cherry_cup,Cherry-Cup,Doppelkirschen-Cup
feather_cup,Feather-Cup,Feder-Cup
fruit_cup,Fruit-Cup,Frucht-Cup
golden_dash_cup,Golden Dash-Cup,Goldener Turbo-Cup
lucky_cat_cup,Lucky Cat-Cup,Glückskatzen-Cup
moon_cup,Moon-Cup,Mond-Cup
propeller_cup,Propeller-Cup,Propeller-Cup
rock_cup,Rock-Cup,Fels-Cup
spiny_cup,Spiny-Cup,Stachi-Cup
turnip_cup,Turnip-Cup,Rüben-Cup
dk_mountain,DK Mountain,DK Bergland
rome_avanti,Rome Avanti,Rom-Rambazamba
daisy_circuit,Daisy Circuit,Daisys Piste
piranha_plant_cove,Piranha Plant Cove,Piranha Planzen Bucht
dk_jungle,DK Jungle,DK Dschungel
dry_dry_desert,Dry Dry Desert,Staubtrockene Wüste
royal_raceway,Royal Raceway,Königliche Rennpiste
donut_plains_3,Donut Plains 3,Donut-Ebene 3
neo_bowser_city,Neo Bowser City,Koopa-Großstadtfieber
ribbon_road,Ribbon Road,Party-Straße
big_blue,Big Blue,Big Blue
super_bell_subway,Super Bell Subway,Marios Metro
mario_circuit,Mario Circuit,Marios Piste
waluigi_stadium,Waluigi Statium,Waluigi-Arena
bangkok_rush,Bankok Rush,Bangkok-Abendrot
singapore_speedway,Singapore Speedway,Überhohlspur Singapur
sunset_wilds,Sunset Wilds,Sonnenuntergangs-Wüste
los_angeles_laps,Los Angeles Laps,Los-Angeles-Strandpartie
vancouver_velocity,Vancouver Velocity,Vancouver-Wildpfad
koopa_cape,Koopa Cape,Koopa-Kap
cheese_land,Cheese Land,Käseland
baby_park,Baby Park,Baby-Park
animal_crossing,Animal Crossing,Animal Crossing-Dorf
wild_woods,Wild Woods,Wilder Wipfelweg
yoshis_circuit,Yoshis Circuit,Yoshis Piste
dragon_driftway,Dragon Driftway,Große Drachenmauer
excitebike_arena,Excitebike Arena,Excitebike-Stadion
mute_city,Mute City,Mute City
daisy_cruiser,Daisy Cruiser,Daisys Dampfer
athens_dash,Athens Dash,Athen auf Abwegen
moonview_highway,Moonview Highway,Mondblickstraße
squeaky_clean_sprint,Squeaky Clean Sprint,Bad-Pacours
shy_guy_falls,Shy Guy Falls,Shy Guy Wasserfälle
toad_harbor,Toad Harbor,Toads Hafen
twisted_mansion,Twisted Mansion,Gruselwusel-Villa
riverside_park,Riverside Park,Flussufer-Park
amsterdam_drift,Amsterdam Drift,Ausfahrt Amsterdam
dk_summit,DK Summit,Dk Skikane
yoshis_island,Yoshis Island,Yoshis Eiland
toad_circuit,Toad Circuit,Toads Piste
choco_mountain,Choco Mountain,Schoko-Sumpf
paris_promenade,Paris Promenade,Paris-Parcours
coconut_mall,Coconut Mall,Kokos-Promenade
music_park,Music Park,Isntrumentalpiste
wario_statium,Wario Stadium,Wario-Arena
sherbet_land,Sherbet Land,Sorbet.Land
yoshi_valley,Yoshi Valley,Yoshi-Tal
piranha_plant_slide,Piranha Plant Slide,Röhrenraserei
tick_tock_clock,Tick Tock Clock,Ticktack-Trauma
rainbow_road,Rainbow Road,Regenbogen-Boulevard
grumble_volcano,Grumble Volcano,Vulkangrollen
shroom_ridge,Shroom Ridge,Pilz-Pass
sky_garden,Sky Garden,Wolkenpiste
tokyo_blur,Tokyo Blur,Tokio-Tempotour
ninja_hideaway,Ninja Hideaway,Ninja Dojo
peach_gardens,Peach Gardens,Peaches Schlossgarten
berlin_byways,Berlin Byways,Pflaster von Berlin
merry_mountain,Merry Mountain,Bergbescherung
mario_kart_stadium,Mario Kart Stadium,Mario Kart-Stadion
sweet_sweet_canyon,Sweet Sweet Canyon,Zuckersüßer Canyon
thwomp_ruins,Thwomp Ruins,Steinblock-Ruinen
water_park,Water Park,Wasserpark
snow_land,Snow Land,Schneeland
sydney_sprint,Sydney Sprint,Sydney-Spritztour
mushroom_gorge,Mushroom Gorge,Pilz-Schlucht
sky_high_sundae,Sky High Sundae,Eiscreme-Eskapade
rock_rock_mountain,Rock Rock Mountain,Gebirgspfad
boo_lake,Boo Lake,Buu-Huu-Tal
london_loop,London Loop,London-tokyo_blur
maple_treeway,Maple Treeway,Blätterwald
cheep_cheep_beach,Cheep Cheep Beach,Cheep-Cheep-Strand
toads_turnpike,Toads Turnpike,Toads Autobahn
moo_moo_meadows,Moo Moo Meadows,Kuhmuh-Weide
bone_dry_dunes,Bone Dry Dunes,Knochentrockene Düne
bowsers_castle,Bowsers Castle,Bowsers Festung
cloudtop_cruise,Cloudtop Cruise,Wolkenstraße
rosalinas_ice_world,Rosalinas Ice World,Rosalinas Eisplanet
bowsers_castle_3,Bowsers Castle 3,Bowsers Festung 3
madrid_drive,Madrid Drive,Stadtrundfahrt Madrid
dolphin_shoals,Dolphin Shoals,Delfinlagune
electrodome,Electrodome,Discodrom
mount_wario,Mount Wario,Wario-Abfahrt
sunshine_airport,Sunshine Airport,Sonnenflughafen
warios_gold_mine,Warios Gold Mine,Warios Goldmine
hyrule_circuit,Hyrule Circuit,Hyrule-Piste
ice_ice_outpost,Ice Ice Outpost,Polarkreis-Parcours
waluigi_pinball,Waluigi Pinball,Waluigi-Flipper
kalimari_desert,Kalimari Desert,Kalimari-Wüste
mario_circuit_3,Mario Circuit 3,Marios Piste 3
new_york_minute,New York Minute,New-York-Speedway
